s_acctbal,s_name,n_name,p_partkey,p_mfgr,s_address,s_phone,s_comment
9997.027527319513,Supplier#000070303,RUSSIA,870303,Manufacturer#3,Address 70303,18-285-868-7517,supplier comment
9996.57637036515,Supplier#000067447,ROMANIA,1067447,Manufacturer#2,Address 67447,31-528-916-8646,supplier comment
9995.64388802205,Supplier#000040539,UNITED KINGDOM,1240539,Manufacturer#4,Address 40539,23-490-806-8564,supplier comment
9993.874874571871,Supplier#000026035,FRANCE,1826035,Manufacturer#5,Address 26035,31-724-324-7534,supplier comment
9983.978512902255,Supplier#000096531,ROMANIA,1496531,Manufacturer#1,Address 96531,15-113-421-7155,supplier comment
9975.828859757185,Supplier#000048759,RUSSIA,1048759,Manufacturer#4,Address 48759,14-128-265-7962,supplier comment
9973.596410493641,Supplier#000012179,RUSSIA,712179,Manufacturer#4,Address 12179,24-177-295-4186,supplier comment
9973.281366024756,Supplier#000074191,UNITED KINGDOM,1974191,Manufacturer#1,Address 74191,11-518-154-8355,supplier comment
9961.161622314796,Supplier#000089435,UNITED KINGDOM,389435,Manufacturer#5,Address 89435,20-596-700-3932,supplier comment
9948.657047311714,Supplier#000075675,RUSSIA,975675,Manufacturer#5,Address 75675,29-763-833-2834,supplier comment
9941.274799464783,Supplier#000064655,FRANCE,164655,Manufacturer#5,Address 64655,17-241-916-5827,supplier comment
9941.16381825393,Supplier#000064543,RUSSIA,764543,Manufacturer#3,Address 64543,33-222-466-7971,supplier comment
9939.140233091479,Supplier#000060551,FRANCE,260551,Manufacturer#1,Address 60551,31-268-563-2685,supplier comment
9939.140233091479,Supplier#000060551,FRANCE,560551,Manufacturer#1,Address 60551,31-268-563-2685,supplier comment
9937.36395049154,Supplier#000092971,FRANCE,792971,Manufacturer#1,Address 92971,13-336-602-7532,supplier comment
9937.36395049154,Supplier#000092971,FRANCE,1992971,Manufacturer#1,Address 92971,13-336-602-7532,supplier comment
9934.140162610904,Supplier#000032599,FRANCE,1132599,Manufacturer#4,Address 32599,33-961-725-2133,supplier comment
9933.974979334838,Supplier#000011383,GERMANY,311383,Manufacturer#3,Address 11383,10-635-197-6967,supplier comment
9910.160460828107,Supplier#000094895,FRANCE,194895,Manufacturer#5,Address 94895,23-300-281-5739,supplier comment
9903.927313073907,Supplier#000094311,GERMANY,894311,Manufacturer#1,Address 94311,20-525-523-8593,supplier comment
9894.950940620234,Supplier#000023143,RUSSIA,1323143,Manufacturer#3,Address 23143,22-253-448-3860,supplier comment
9893.104919868982,Supplier#000053983,ROMANIA,453983,Manufacturer#3,Address 53983,12-783-848-2893,supplier comment
9886.23626444786,Supplier#000026503,ROMANIA,426503,Manufacturer#3,Address 26503,33-873-909-3999,supplier comment
9882.742367550709,Supplier#000001635,RUSSIA,901635,Manufacturer#5,Address 1635,23-381-973-6789,supplier comment
9882.230286709206,Supplier#000087975,RUSSIA,1787975,Manufacturer#5,Address 87975,16-236-299-1575,supplier comment
9880.868403771567,Supplier#000031967,UNITED KINGDOM,531967,Manufacturer#2,Address 31967,17-412-284-3900,supplier comment
9877.99830035879,Supplier#000005171,UNITED KINGDOM,805171,Manufacturer#1,Address 5171,30-861-914-1441,supplier comment
9876.134087250213,Supplier#000009811,GERMANY,1409811,Manufacturer#1,Address 9811,31-128-329-9816,supplier comment
9868.522957265961,Supplier#000090679,UNITED KINGDOM,1390679,Manufacturer#4,Address 90679,32-484-757-7603,supplier comment
9857.89332588711,Supplier#000072035,GERMANY,872035,Manufacturer#5,Address 72035,13-194-699-7949,supplier comment
9857.89332588711,Supplier#000072035,GERMANY,1272035,Manufacturer#5,Address 72035,13-194-699-7949,supplier comment
9854.564561703251,Supplier#000097987,FRANCE,997987,Manufacturer#2,Address 97987,21-438-530-6703,supplier comment
9843.906146983296,Supplier#000096199,GERMANY,696199,Manufacturer#4,Address 96199,15-495-804-1002,supplier comment
9840.501349950731,Supplier#000047031,UNITED KINGDOM,247031,Manufacturer#1,Address 47031,12-313-657-7791,supplier comment
9830.28665772261,Supplier#000096343,FRANCE,596343,Manufacturer#3,Address 96343,20-751-879-6341,supplier comment
9830.28665772261,Supplier#000096343,FRANCE,1496343,Manufacturer#3,Address 96343,20-751-879-6341,supplier comment
9830.28665772261,Supplier#000096343,FRANCE,1896343,Manufacturer#3,Address 96343,20-751-879-6341,supplier comment
9822.605896031915,Supplier#000031991,UNITED KINGDOM,1131991,Manufacturer#1,Address 31991,20-495-667-5956,supplier comment
9822.605896031915,Supplier#000031991,UNITED KINGDOM,1431991,Manufacturer#1,Address 31991,20-495-667-5956,supplier comment
9820.345333223719,Supplier#000069611,FRANCE,869611,Manufacturer#1,Address 69611,21-400-470-8934,supplier comment
9820.345333223719,Supplier#000069611,FRANCE,969611,Manufacturer#1,Address 69611,21-400-470-8934,supplier comment
9807.797661176168,Supplier#000062247,UNITED KINGDOM,662247,Manufacturer#2,Address 62247,11-522-528-4357,supplier comment
9806.711189561323,Supplier#000065143,FRANCE,1665143,Manufacturer#3,Address 65143,25-206-652-9579,supplier comment
9798.94442390378,Supplier#000029467,RUSSIA,229467,Manufacturer#2,Address 29467,11-419-867-7498,supplier comment
9787.411197542546,Supplier#000051295,ROMANIA,1751295,Manufacturer#5,Address 51295,23-389-842-9216,supplier comment
9782.071387668648,Supplier#000097403,UNITED KINGDOM,1497403,Manufacturer#3,Address 97403,21-518-602-8320,supplier comment
9775.507644656243,Supplier#000074259,FRANCE,774259,Manufacturer#4,Address 74259,28-124-372-1678,supplier comment
9771.915324357033,Supplier#000051311,UNITED KINGDOM,51311,Manufacturer#1,Address 51311,21-164-410-2106,supplier comment
9771.608539442474,Supplier#000003803,RUSSIA,303803,Manufacturer#3,Address 3803,30-164-565-3849,supplier comment
9765.189195900019,Supplier#000008175,ROMANIA,508175,Manufacturer#5,Address 8175,12-604-411-2619,supplier comment
9765.00167550561,Supplier#000063583,RUSSIA,963583,Manufacturer#3,Address 63583,25-794-784-5395,supplier comment
9763.34050710664,Supplier#000089947,ROMANIA,1389947,Manufacturer#2,Address 89947,13-883-929-4051,supplier comment
9756.307364731178,Supplier#000056267,GERMANY,1056267,Manufacturer#2,Address 56267,19-659-413-5720,supplier comment
9748.528206628185,Supplier#000091663,RUSSIA,191663,Manufacturer#3,Address 91663,31-260-539-4199,supplier comment
9732.820222391063,Supplier#000000203,ROMANIA,203,Manufacturer#3,Address 203,33-214-345-9123,supplier comment
9717.167590135814,Supplier#000033239,GERMANY,233239,Manufacturer#4,Address 33239,23-195-341-3313,supplier comment
9699.186614494984,Supplier#000083031,GERMANY,1583031,Manufacturer#1,Address 83031,30-529-615-2432,supplier comment
9695.376019447189,Supplier#000008739,UNITED KINGDOM,208739,Manufacturer#4,Address 8739,33-562-851-7850,supplier comment
9694.661043622284,Supplier#000089907,ROMANIA,489907,Manufacturer#2,Address 89907,23-564-811-8874,supplier comment
9694.661043622284,Supplier#000089907,ROMANIA,1489907,Manufacturer#2,Address 89907,23-564-811-8874,supplier comment
9693.222953929982,Supplier#000034979,ROMANIA,1534979,Manufacturer#4,Address 34979,23-805-502-9282,supplier comment
9686.486204996132,Supplier#000021567,UNITED KINGDOM,421567,Manufacturer#2,Address 21567,17-642-970-4314,supplier comment
9677.36715112359,Supplier#000087671,ROMANIA,587671,Manufacturer#1,Address 87671,21-454-748-9217,supplier comment
9677.36715112359,Supplier#000087671,ROMANIA,1287671,Manufacturer#1,Address 87671,21-454-748-9217,supplier comment
9677.36715112359,Supplier#000087671,ROMANIA,1387671,Manufacturer#1,Address 87671,21-454-748-9217,supplier comment
9677.36715112359,Supplier#000087671,ROMANIA,1887671,Manufacturer#1,Address 87671,21-454-748-9217,supplier comment
9662.197860199625,Supplier#000088823,ROMANIA,288823,Manufacturer#3,Address 88823,26-330-170-6449,supplier comment
9662.197860199625,Supplier#000088823,ROMANIA,1288823,Manufacturer#3,Address 88823,26-330-170-6449,supplier comment
9656.361555832951,Supplier#000075707,ROMANIA,1175707,Manufacturer#2,Address 75707,26-485-660-5691,supplier comment
9656.361555832951,Supplier#000075707,ROMANIA,1275707,Manufacturer#2,Address 75707,26-485-660-5691,supplier comment
9639.09783633224,Supplier#000082587,FRANCE,82587,Manufacturer#2,Address 82587,20-131-956-9940,supplier comment
9630.416322292402,Supplier#000040007,FRANCE,440007,Manufacturer#2,Address 40007,30-583-188-4363,supplier comment
9616.541585295485,Supplier#000031983,FRANCE,1231983,Manufacturer#3,Address 31983,15-258-157-3165,supplier comment
9602.759011671798,Supplier#000029879,RUSSIA,1329879,Manufacturer#4,Address 29879,22-111-330-8382,supplier comment
9595.48538866772,Supplier#000052443,ROMANIA,952443,Manufacturer#3,Address 52443,11-517-401-9443,supplier comment
9590.924174013264,Supplier#000092307,ROMANIA,1792307,Manufacturer#2,Address 92307,30-740-534-9971,supplier comment
9588.648154572562,Supplier#000091599,FRANCE,1591599,Manufacturer#4,Address 91599,26-423-426-4641,supplier comment
9580.932987355627,Supplier#000017039,GERMANY,917039,Manufacturer#4,Address 17039,22-715-718-8971,supplier comment
9576.263780306905,Supplier#000097643,ROMANIA,997643,Manufacturer#3,Address 97643,17-396-768-9795,supplier comment
9569.334445742048,Supplier#000069239,GERMANY,569239,Manufacturer#4,Address 69239,10-253-361-4651,supplier comment
9569.334445742048,Supplier#000069239,GERMANY,969239,Manufacturer#4,Address 69239,10-253-361-4651,supplier comment
9562.525351875078,Supplier#000029423,ROMANIA,1229423,Manufacturer#3,Address 29423,12-911-564-3233,supplier comment
9559.016762159295,Supplier#000043735,RUSSIA,1343735,Manufacturer#5,Address 43735,22-810-756-4227,supplier comment
9559.016762159295,Supplier#000043735,RUSSIA,1743735,Manufacturer#5,Address 43735,22-810-756-4227,supplier comment
9541.263659850594,Supplier#000084259,UNITED KINGDOM,1784259,Manufacturer#4,Address 84259,21-145-985-7758,supplier comment
9528.752861707639,Supplier#000090671,GERMANY,1790671,Manufacturer#1,Address 90671,28-475-919-8669,supplier comment
9523.958746283839,Supplier#000008555,GERMANY,1508555,Manufacturer#5,Address 8555,30-661-160-9392,supplier comment
9520.071786716968,Supplier#000095479,FRANCE,1795479,Manufacturer#4,Address 95479,29-362-612-1463,supplier comment
9515.077023102147,Supplier#000020555,GERMANY,220555,Manufacturer#5,Address 20555,24-920-869-6213,supplier comment
9510.256015170018,Supplier#000037207,ROMANIA,1737207,Manufacturer#2,Address 37207,22-490-935-7364,supplier comment
9509.454401807627,Supplier#000015963,UNITED KINGDOM,715963,Manufacturer#3,Address 15963,33-872-245-5564,supplier comment
9506.173070299988,Supplier#000014475,ROMANIA,1014475,Manufacturer#5,Address 14475,20-358-824-4427,supplier comment
9488.948985308769,Supplier#000097415,FRANCE,397415,Manufacturer#5,Address 97415,19-228-523-3346,supplier comment
9488.403826871307,Supplier#000022367,RUSSIA,1222367,Manufacturer#2,Address 22367,14-393-242-4661,supplier comment
9485.489847849205,Supplier#000081343,GERMANY,681343,Manufacturer#3,Address 81343,15-303-253-1306,supplier comment
9480.236279544775,Supplier#000000207,ROMANIA,600207,Manufacturer#2,Address 207,10-126-482-8083,supplier comment
