nation,o_year,sum_profit
ALGERIA,1998,27447541294.19319
ALGERIA,1997,27342089946.48784
ALGERIA,1996,27317858731.50309
ALGERIA,1995,27206421841.626312
ALGERIA,1994,27339240618.886158
ALGERIA,1993,27245361044.066544
ALGERIA,1992,27400332980.92277
ARGENTINA,1998,26817359919.34016
ARGENTINA,1997,27024249218.04778
ARGENTINA,1996,26927776922.29307
ARGENTINA,1995,26824078142.427612
ARGENTINA,1994,26927046403.540268
ARGENTINA,1993,26866830127.233433
ARGENTINA,1992,26886574362.62787
BRAZIL,1998,26694687907.480236
BRAZIL,1997,26728772413.106236
BRAZIL,1996,26575067722.406143
BRAZIL,1995,26609174137.36193
BRAZIL,1994,26581844010.272266
BRAZIL,1993,26572843457.055477
BRAZIL,1992,26674509745.343567
CANADA,1998,26391296835.700268
CANADA,1997,26488772367.848274
CANADA,1996,26335159429.9031
CANADA,1995,26548545179.34282
CANADA,1994,26534093848.760662
CANADA,1993,26401718624.63664
CANADA,1992,26538816236.401466
CHINA,1998,27127837148.531055
CHINA,1997,27016257744.49067
CHINA,1996,27016409898.94798
CHINA,1995,26890129758.89506
CHINA,1994,27170377292.03407
CHINA,1993,27044999595.02256
CHINA,1992,26919591156.14972
EGYPT,1998,26168915922.7645
EGYPT,1997,26390036369.91412
EGYPT,1996,26303141010.62638
EGYPT,1995,26172266672.497757
EGYPT,1994,26165986669.45731
EGYPT,1993,26299372073.541252
EGYPT,1992,26165055277.555477
ETHIOPIA,1998,26858168632.489796
ETHIOPIA,1997,26802718106.202812
ETHIOPIA,1996,26942687484.720013
ETHIOPIA,1995,26734803511.999786
ETHIOPIA,1994,26727791415.065334
ETHIOPIA,1993,26815826141.7578
ETHIOPIA,1992,26798819357.97586
FRANCE,1998,26586480427.014816
FRANCE,1997,26336835217.544685
FRANCE,1996,26532562969.76752
FRANCE,1995,26591790337.076694
FRANCE,1994,26473963302.94567
FRANCE,1993,26324167534.138454
FRANCE,1992,26558958389.04606
GERMANY,1998,27063002571.969288
GERMANY,1997,27128747505.031708
GERMANY,1996,27205635640.109905
GERMANY,1995,27119323843.04299
GERMANY,1994,27041030260.137184
GERMANY,1993,26999712582.88871
GERMANY,1992,27240587458.64132
INDIA,1998,26961265396.804157
INDIA,1997,26946385382.22178
INDIA,1996,26999220958.395504
INDIA,1995,26997809692.353374
INDIA,1994,26795697501.895126
INDIA,1993,26751211021.431976
INDIA,1992,26654764970.131832
INDONESIA,1998,27368695348.723755
INDONESIA,1997,27259240126.974083
INDONESIA,1996,27497923742.94496
INDONESIA,1995,27345849732.696438
INDONESIA,1994,27469698757.630627
INDONESIA,1993,27364171477.067654
INDONESIA,1992,27385274669.304672
IRAN,1998,26472466805.13516
IRAN,1997,26796108270.987488
IRAN,1996,26585435314.33416
IRAN,1995,26497534794.05503
IRAN,1994,26666173418.29096
IRAN,1993,26499521142.108616
IRAN,1992,26610568872.299397
IRAQ,1998,26629469592.443558
IRAQ,1997,26549089538.40285
IRAQ,1996,26602259493.76388
IRAQ,1995,26434884618.03511
IRAQ,1994,26632177974.266693
IRAQ,1993,26351519317.525833
IRAQ,1992,26652951156.94456
JAPAN,1998,26948781549.222866
JAPAN,1997,26919251665.493496
JAPAN,1996,26939164596.298557
JAPAN,1995,26945291062.49108
JAPAN,1994,26999446683.04072
JAPAN,1993,26874565355.042347
JAPAN,1992,27018578973.301804
JORDAN,1998,27487267462.122498
JORDAN,1997,27569972679.45057
JORDAN,1996,27592910467.85
JORDAN,1995,27356333040.11445
JORDAN,1994,27441703718.226772
JORDAN,1993,27409741709.09124
JORDAN,1992,27526266748.150238
KENYA,1998,26317924405.604916
KENYA,1997,26395483215.39813
KENYA,1996,26487754080.680737
KENYA,1995,26377771882.390053
KENYA,1994,26557593765.936504
KENYA,1993,26307903880.096085
KENYA,1992,26411121786.285423
MOROCCO,1998,26629021556.7469
MOROCCO,1997,26564730390.046852
MOROCCO,1996,26626161181.213226
MOROCCO,1995,26611282567.441544
MOROCCO,1994,26714110911.49556
MOROCCO,1993,26594205979.842957
MOROCCO,1992,26648520632.513416
MOZAMBIQUE,1998,26675317273.208206
MOZAMBIQUE,1997,26829898663.10066
MOZAMBIQUE,1996,26788851421.427074
MOZAMBIQUE,1995,26612122870.920307
MOZAMBIQUE,1994,26707243221.11893
MOZAMBIQUE,1993,26660688965.029167
MOZAMBIQUE,1992,26621042443.33206
PERU,1998,27108914417.904034
PERU,1997,27024611735.14418
PERU,1996,26968610054.238537
PERU,1995,27112946433.97695
PERU,1994,27106535428.245495
PERU,1993,27090215193.129402
PERU,1992,27220073308.849827
ROMANIA,1998,27332448394.500347
ROMANIA,1997,27184574016.8896
