ps_partkey,value
920425,31388528.53506538
231730,30806101.93130261
103443,30749955.27287094
1385176,30510298.665887006
1828325,30051867.085410718
1533134,29928093.317788817
1010767,29754961.799569152
1129788,29336905.68077556
964355,29205849.27906945
1704512,29002861.487703934
489371,28961936.06813681
1266163,28645999.9405813
203227,28507920.702119444
1066589,28418318.496418938
345477,28326846.88943713
1893037,28020507.080793988
322218,27964634.729530577
574645,27822047.599991668
1790073,27748067.90021587
1879401,27731829.313070923
1681551,27729384.15948027
1713671,27723306.059341647
927424,27719179.342707984
1248805,27692454.755209673
1541793,27527419.092804182
571200,27483383.925646085
1267635,27436179.872109313
652285,27412368.93014039
249404,27334266.394664746
1702275,27262096.290832017
239270,27147487.557293557
1548342,27108493.489809908
321274,27101732.31114377
1975266,27097753.64203877
1231345,27060645.136162
44053,27042690.461197995
1771211,26944389.700085036
1306958,26883032.457357597
691008,26847775.977512203
1769879,26815307.537887953
915012,26800129.633584484
1073246,26787713.315865893
626416,26680560.643924206
111533,26675966.26360873
1570769,26515126.686214324
1596368,26411131.674547255
986684,26255770.711574063
1330815,26240811.755108997
1098598,26231521.7454659
1990104,26182673.40132854
808923,26167441.65107981
1761568,26143837.794439584
943998,26123439.778219115
1016741,26107569.58208996
1974663,26095030.55349057
885139,26087657.665498946
278769,26035748.86510125
872747,26006283.45714746
388302,25962689.962040137
1624067,25936772.26162004
466703,25907873.099011175
142441,25895852.08686457
1159958,25880568.34667361
648099,25865681.882130973
1891132,25705141.962703716
148895,25641468.15133091
714485,25622999.512357622
1901973,25610362.85112843
628325,25576518.99721207
1138949,25555775.342769455
1397822,25534991.817554913
1408251,25511939.751051404
1532797,25503333.476732243
1616734,25486572.314825162
1980740,25482204.580767453
590011,25481706.864202224
769138,25468700.236784868
472477,25464793.5456085
1000656,25463675.747842986
1840281,25460786.476697635
641399,25460621.151849747
1030000,25447540.97077861
421882,25403401.579057425
353668,25352531.586916883
1497827,25349403.439450808
985301,25346797.859589525
1368006,25317770.46550807
311331,25317373.287373554
1064841,25315332.51863721
108159,25308953.82409855
129704,25241157.270032227
1000031,25235225.10102035
8525,25218448.93919252
1027664,25209882.76382254
1942990,25181703.750682376
9367,25176849.653412584
957775,25116396.574758362
315399,25104724.65674098
505477,25091667.969000656
1252661,25077428.65417138
