p_brand,p_type,p_size,supplier_cnt
Brand#22,STANDARD ANODIZED TIN,36,925
Brand#23,SMALL PLATED NICKEL,3,924
Brand#21,STANDARD ANODIZED STEEL,49,917
Brand#22,PROMO BURNISHED BRASS,45,899
Brand#15,STANDARD ANODIZED BRASS,14,897
Brand#15,PROMO BURNISHED BRASS,23,895
Brand#24,SMALL PLATED TIN,9,895
Brand#15,STANDARD ANODIZED TIN,14,891
Brand#11,SMALL PLATED TIN,9,890
Brand#14,PROMO BURNISHED STEEL,14,890
Brand#14,STANDARD ANODIZED STEEL,19,889
Brand#24,PROMO BURNISHED BRASS,9,889
Brand#21,STANDARD ANODIZED STEEL,23,886
Brand#25,STANDARD ANODIZED NICKEL,36,886
Brand#11,STANDARD ANODIZED TIN,19,885
Brand#24,STANDARD ANODIZED BRASS,19,885
Brand#25,STANDARD ANODIZED NICKEL,45,885
Brand#24,PROMO BURNISHED BRASS,3,884
Brand#24,SMALL PLATED TIN,36,884
Brand#11,STANDARD ANODIZED BRASS,3,883
Brand#13,PROMO BURNISHED BRASS,36,883
Brand#23,STANDARD ANODIZED NICKEL,19,883
Brand#14,SMALL PLATED NICKEL,45,882
Brand#24,STANDARD ANODIZED BRASS,36,882
Brand#13,PROMO BURNISHED BRASS,23,881
Brand#25,STANDARD ANODIZED STEEL,23,881
Brand#11,PROMO BURNISHED BRASS,3,880
Brand#13,STANDARD ANODIZED TIN,3,880
Brand#14,PROMO BURNISHED STEEL,36,879
Brand#14,STANDARD ANODIZED NICKEL,23,879
Brand#15,SMALL PLATED TIN,45,879
Brand#15,STANDARD ANODIZED TIN,45,879
Brand#13,STANDARD ANODIZED BRASS,23,878
Brand#15,SMALL PLATED TIN,3,877
Brand#22,SMALL PLATED TIN,36,877
Brand#13,PROMO BURNISHED BRASS,3,876
Brand#15,PROMO BURNISHED BRASS,49,876
Brand#24,STANDARD ANODIZED BRASS,9,876
Brand#25,SMALL PLATED NICKEL,3,876
Brand#22,PROMO BURNISHED BRASS,49,875
Brand#23,STANDARD ANODIZED STEEL,3,875
Brand#25,STANDARD ANODIZED STEEL,9,875
Brand#24,PROMO BURNISHED BRASS,36,874
Brand#12,PROMO BURNISHED STEEL,23,873
Brand#12,STANDARD ANODIZED NICKEL,9,873
Brand#12,STANDARD ANODIZED STEEL,14,873
Brand#13,STANDARD ANODIZED TIN,9,873
Brand#21,STANDARD ANODIZED NICKEL,49,872
Brand#22,PROMO BURNISHED BRASS,3,872
Brand#22,PROMO BURNISHED BRASS,19,872
Brand#25,SMALL PLATED NICKEL,49,871
Brand#13,PROMO BURNISHED BRASS,19,869
Brand#14,STANDARD ANODIZED STEEL,49,869
Brand#21,STANDARD ANODIZED NICKEL,45,869
Brand#11,STANDARD ANODIZED TIN,23,868
Brand#12,SMALL PLATED NICKEL,9,868
Brand#13,PROMO BURNISHED BRASS,14,868
Brand#13,SMALL PLATED TIN,19,868
Brand#14,STANDARD ANODIZED NICKEL,49,868
Brand#23,STANDARD ANODIZED STEEL,45,868
Brand#24,STANDARD ANODIZED TIN,45,868
Brand#12,STANDARD ANODIZED STEEL,23,867
Brand#21,PROMO BURNISHED STEEL,3,867
Brand#23,PROMO BURNISHED STEEL,3,867
Brand#25,PROMO BURNISHED STEEL,49,867
Brand#11,PROMO BURNISHED BRASS,9,866
Brand#13,SMALL PLATED TIN,3,866
Brand#13,STANDARD ANODIZED BRASS,19,866
Brand#23,PROMO BURNISHED STEEL,14,866
Brand#12,STANDARD ANODIZED NICKEL,45,865
Brand#13,SMALL PLATED TIN,45,865
Brand#25,STANDARD ANODIZED STEEL,14,865
Brand#12,STANDARD ANODIZED NICKEL,19,864
Brand#14,STANDARD ANODIZED NICKEL,19,864
Brand#23,PROMO BURNISHED STEEL,9,864
Brand#23,SMALL PLATED NICKEL,9,864
Brand#25,SMALL PLATED NICKEL,45,864
Brand#12,STANDARD ANODIZED STEEL,9,863
Brand#25,STANDARD ANODIZED NICKEL,9,863
Brand#25,STANDARD ANODIZED NICKEL,19,863
Brand#13,STANDARD ANODIZED TIN,19,862
Brand#14,STANDARD ANODIZED STEEL,36,862
Brand#15,STANDARD ANODIZED TIN,49,862
