c_name,c_custkey,o_orderkey,o_orderdate,o_totalprice,total_quantity
Customer#001232339,1232339,12756539,1992-12-29,499998.9607931914,373.5682107631284
Customer#000538461,538461,3303283,1998-10-21,499998.9506675809,389.1236408402547
Customer#001461503,1461503,5838817,1993-09-23,499998.93217510515,335.3190978961167
Customer#000956243,956243,10775727,1994-12-11,499997.9053798846,408.9177599649427
Customer#001200213,1200213,13600975,1998-05-21,499997.3185136991,335.1631788980711
Customer#000900216,900216,13484661,1997-10-18,499997.3038850757,641.6175316694772
Customer#000799508,799508,12767442,1997-05-05,499994.15658753907,524.9979404787251
Customer#000094118,94118,7192001,1995-08-04,499993.76929650124,431.0874735905639
Customer#000194365,194365,3001229,1997-05-17,499992.80651045556,301.551985914432
Customer#001314364,1314364,7322446,1998-04-09,499989.51322507253,327.8583416743912
Customer#001443865,1443865,14381949,1994-11-25,499989.18971962977,432.2293004171795
Customer#000192397,192397,9769770,1994-05-09,499987.94155482017,305.4939885752108
Customer#000459991,459991,11031978,1992-05-29,499985.65258166444,319.9312337040994
Customer#000543536,543536,11077622,1992-10-28,499985.44042651297,343.9492757526783
Customer#000871775,871775,4331309,1995-05-24,499985.3491625212,314.8166797906985
Customer#001122060,1122060,9749163,1996-04-19,499985.24620652804,373.78484392799294
Customer#001384409,1384409,2666263,1995-08-30,499983.0924255654,330.29878907213794
Customer#001251522,1251522,3666555,1994-01-19,499982.1730370455,321.2946265122977
Customer#000479917,479917,3630151,1997-09-06,499981.3678595167,364.3534320230259
Customer#000514079,514079,9224965,1998-10-11,499980.9880320933,394.4141246061751
Customer#001242149,1242149,6901748,1998-07-14,499980.5216574491,503.8888221043801
Customer#000376694,376694,648933,1996-02-27,499979.42853004887,537.1213462552422
Customer#001019435,1019435,12991076,1997-06-19,499976.097822698,323.6190693054209
Customer#000973975,973975,12607214,1998-04-14,499975.17605767655,332.5644798362045
Customer#000229626,229626,8233921,1994-10-10,499975.16416133597,395.56798280635536
Customer#000199436,199436,5409443,1993-04-03,499974.99613320996,305.6592407976529
Customer#000020629,20629,9488919,1995-05-22,499974.3189184696,305.54133400984495
Customer#000924121,924121,11058211,1994-12-02,499972.83813582524,447.5580182049853
Customer#000258050,258050,11370233,1992-02-20,499971.71152618044,306.9136212004167
Customer#001185709,1185709,105748,1996-09-14,499970.9548376854,337.7018031987631
Customer#000465526,465526,6361560,1997-05-17,499970.382698906,330.39285383429154
Customer#000062735,62735,5056686,1995-05-12,499969.9084775611,505.29114141756554
Customer#000232899,232899,14657078,1992-07-13,499969.3883938231,487.9331372973826
Customer#001406772,1406772,13825003,1993-05-31,499965.2038197143,435.6662287939386
Customer#000833471,833471,4548819,1992-08-04,499963.5595305509,327.0762330083012
Customer#000390029,390029,12189365,1998-07-26,499962.66156117717,472.80747343386
Customer#000075919,75919,13493740,1998-01-02,499961.63313571253,342.3577213278059
Customer#000507102,507102,9084583,1995-12-23,499961.04686737334,381.343752115249
Customer#001037155,1037155,12237790,1993-02-25,499960.6849307647,304.3420767257613
