s_name,s_address
Supplier#000000045,Address 45
Supplier#000000062,Address 62
Supplier#000000083,Address 83
Supplier#000000120,Address 120
Supplier#000000147,Address 147
Supplier#000000156,Address 156
Supplier#000000201,Address 201
Supplier#000000237,Address 237
Supplier#000000261,Address 261
Supplier#000000290,Address 290
Supplier#000000306,Address 306
Supplier#000000329,Address 329
Supplier#000000331,Address 331
Supplier#000000334,Address 334
Supplier#000000345,Address 345
Supplier#000000360,Address 360
Supplier#000000374,Address 374
Supplier#000000388,Address 388
Supplier#000000435,Address 435
Supplier#000000459,Address 459
Supplier#000000482,Address 482
Supplier#000000588,Address 588
Supplier#000000636,Address 636
Supplier#000000659,Address 659
Supplier#000000665,Address 665
Supplier#000000695,Address 695
Supplier#000000704,Address 704
Supplier#000000731,Address 731
Supplier#000000733,Address 733
Supplier#000000763,Address 763
Supplier#000000782,Address 782
Supplier#000000806,Address 806
Supplier#000000892,Address 892
Supplier#000000954,Address 954
Supplier#000000977,Address 977
Supplier#000000995,Address 995
Supplier#000001000,Address 1000
Supplier#000001092,Address 1092
Supplier#000001095,Address 1095
Supplier#000001106,Address 1106
Supplier#000001116,Address 1116
Supplier#000001153,Address 1153
Supplier#000001179,Address 1179
Supplier#000001207,Address 1207
Supplier#000001228,Address 1228
Supplier#000001241,Address 1241
Supplier#000001243,Address 1243
Supplier#000001276,Address 1276
Supplier#000001280,Address 1280
Supplier#000001305,Address 1305
Supplier#000001320,Address 1320
Supplier#000001334,Address 1334
Supplier#000001358,Address 1358
Supplier#000001362,Address 1362
Supplier#000001380,Address 1380
Supplier#000001393,Address 1393
Supplier#000001415,Address 1415
Supplier#000001441,Address 1441
Supplier#000001464,Address 1464
Supplier#000001486,Address 1486
Supplier#000001535,Address 1535
Supplier#000001540,Address 1540
Supplier#000001545,Address 1545
Supplier#000001566,Address 1566
Supplier#000001617,Address 1617
Supplier#000001636,Address 1636
Supplier#000001686,Address 1686
Supplier#000001732,Address 1732
Supplier#000001747,Address 1747
Supplier#000001750,Address 1750
Supplier#000001761,Address 1761
Supplier#000001783,Address 1783
Supplier#000001813,Address 1813
Supplier#000001816,Address 1816
Supplier#000001848,Address 1848
Supplier#000001854,Address 1854
Supplier#000001894,Address 1894
Supplier#000001899,Address 1899
Supplier#000001911,Address 1911
Supplier#000001913,Address 1913
Supplier#000001917,Address 1917
Supplier#000001928,Address 1928
Supplier#000001929,Address 1929
Supplier#000001992,Address 1992
Supplier#000002106,Address 2106
Supplier#000002166,Address 2166
Supplier#000002194,Address 2194
Supplier#000002212,Address 2212
Supplier#000002215,Address 2215
Supplier#000002218,Address 2218
Supplier#000002279,Address 2279
Supplier#000002295,Address 2295
Supplier#000002350,Address 2350
Supplier#000002359,Address 2359
Supplier#000002417,Address 2417
Supplier#000002431,Address 2431
Supplier#000002470,Address 2470
Supplier#000002478,Address 2478
Supplier#000002520,Address 2520
Supplier#000002692,Address 2692
Supplier#000002704,Address 2704
Supplier#000002791,Address 2791
Supplier#000002817,Address 2817
Supplier#000002826,Address 2826
Supplier#000002844,Address 2844
Supplier#000002855,Address 2855
Supplier#000002862,Address 2862
Supplier#000002867,Address 2867
Supplier#000002883,Address 2883
Supplier#000002925,Address 2925
Supplier#000002943,Address 2943
Supplier#000002991,Address 2991
Supplier#000002992,Address 2992
Supplier#000002998,Address 2998
Supplier#000003046,Address 3046
Supplier#000003054,Address 3054
Supplier#000003065,Address 3065
Supplier#000003098,Address 3098
Supplier#000003115,Address 3115
Supplier#000003125,Address 3125
Supplier#000003137,Address 3137
Supplier#000003143,Address 3143
Supplier#000003207,Address 3207
Supplier#000003221,Address 3221
Supplier#000003222,Address 3222
Supplier#000003243,Address 3243
Supplier#000003315,Address 3315
Supplier#000003334,Address 3334
Supplier#000003377,Address 3377
Supplier#000003389,Address 3389
Supplier#000003414,Address 3414
Supplier#000003446,Address 3446
Supplier#000003466,Address 3466
Supplier#000003486,Address 3486
Supplier#000003555,Address 3555
Supplier#000003618,Address 3618
Supplier#000003619,Address 3619
Supplier#000003629,Address 3629
Supplier#000003632,Address 3632
Supplier#000003635,Address 3635
Supplier#000003642,Address 3642
Supplier#000003665,Address 3665
Supplier#000003673,Address 3673
Supplier#000003683,Address 3683
Supplier#000003698,Address 3698
Supplier#000003709,Address 3709
Supplier#000003729,Address 3729
Supplier#000003732,Address 3732
Supplier#000003776,Address 3776
Supplier#000003831,Address 3831
Supplier#000003871,Address 3871
Supplier#000003921,Address 3921
Supplier#000003964,Address 3964
Supplier#000003965,Address 3965
Supplier#000003985,Address 3985
Supplier#000004035,Address 4035
Supplier#000004070,Address 4070
Supplier#000004078,Address 4078
Supplier#000004079,Address 4079
Supplier#000004080,Address 4080
Supplier#000004130,Address 4130
Supplier#000004132,Address 4132
Supplier#000004147,Address 4147
Supplier#000004187,Address 4187
Supplier#000004193,Address 4193
Supplier#000004216,Address 4216
Supplier#000004238,Address 4238
Supplier#000004256,Address 4256
Supplier#000004283,Address 4283
Supplier#000004290,Address 4290
Supplier#000004294,Address 4294
Supplier#000004332,Address 4332
Supplier#000004373,Address 4373
Supplier#000004488,Address 4488
Supplier#000004502,Address 4502
Supplier#000004531,Address 4531
Supplier#000004556,Address 4556
Supplier#000004561,Address 4561
Supplier#000004580,Address 4580
Supplier#000004587,Address 4587
Supplier#000004603,Address 4603
Supplier#000004624,Address 4624
Supplier#000004640,Address 4640
Supplier#000004657,Address 4657
Supplier#000004659,Address 4659
Supplier#000004689,Address 4689
Supplier#000004694,Address 4694
Supplier#000004734,Address 4734
Supplier#000004775,Address 4775
Supplier#000004777,Address 4777
Supplier#000004784,Address 4784
Supplier#000004808,Address 4808
Supplier#000004844,Address 4844
Supplier#000004845,Address 4845
Supplier#000004864,Address 4864
Supplier#000004914,Address 4914
Supplier#000004941,Address 4941
Supplier#000004963,Address 4963
Supplier#000005077,Address 5077
Supplier#000005195,Address 5195
Supplier#000005198,Address 5198
Supplier#000005208,Address 5208
Supplier#000005211,Address 5211
Supplier#000005247,Address 5247
Supplier#000005294,Address 5294
Supplier#000005298,Address 5298
Supplier#000005331,Address 5331
Supplier#000005339,Address 5339
Supplier#000005342,Address 5342
Supplier#000005369,Address 5369
Supplier#000005375,Address 5375
Supplier#000005417,Address 5417
Supplier#000005422,Address 5422
Supplier#000005438,Address 5438
Supplier#000005501,Address 5501
Supplier#000005502,Address 5502
Supplier#000005512,Address 5512
Supplier#000005518,Address 5518
Supplier#000005519,Address 5519
Supplier#000005563,Address 5563
Supplier#000005569,Address 5569
Supplier#000005588,Address 5588
Supplier#000005605,Address 5605
Supplier#000005651,Address 5651
Supplier#000005673,Address 5673
Supplier#000005752,Address 5752
Supplier#000005829,Address 5829
Supplier#000005895,Address 5895
Supplier#000005905,Address 5905
Supplier#000005911,Address 5911
Supplier#000005925,Address 5925
Supplier#000005928,Address 5928
Supplier#000005953,Address 5953
Supplier#000005957,Address 5957
Supplier#000005970,Address 5970
Supplier#000005983,Address 5983
Supplier#000005991,Address 5991
Supplier#000006028,Address 6028
Supplier#000006030,Address 6030
Supplier#000006053,Address 6053
Supplier#000006100,Address 6100
Supplier#000006144,Address 6144
Supplier#000006183,Address 6183
Supplier#000006266,Address 6266
Supplier#000006316,Address 6316
Supplier#000006375,Address 6375
Supplier#000006404,Address 6404
Supplier#000006429,Address 6429
Supplier#000006458,Address 6458
Supplier#000006528,Address 6528
Supplier#000006541,Address 6541
Supplier#000006556,Address 6556
Supplier#000006564,Address 6564
Supplier#000006582,Address 6582
Supplier#000006642,Address 6642
Supplier#000006682,Address 6682
Supplier#000006732,Address 6732
Supplier#000006739,Address 6739
Supplier#000006744,Address 6744
Supplier#000006808,Address 6808
Supplier#000006816,Address 6816
Supplier#000006861,Address 6861
Supplier#000006872,Address 6872
Supplier#000006894,Address 6894
Supplier#000006945,Address 6945
Supplier#000006983,Address 6983
Supplier#000007023,Address 7023
Supplier#000007071,Address 7071
Supplier#000007162,Address 7162
Supplier#000007201,Address 7201
Supplier#000007256,Address 7256
Supplier#000007292,Address 7292
Supplier#000007296,Address 7296
Supplier#000007308,Address 7308
Supplier#000007335,Address 7335
Supplier#000007346,Address 7346
Supplier#000007442,Address 7442
Supplier#000007447,Address 7447
Supplier#000007488,Address 7488
Supplier#000007646,Address 7646
Supplier#000007652,Address 7652
Supplier#000007676,Address 7676
Supplier#000007681,Address 7681
Supplier#000007710,Address 7710
Supplier#000007738,Address 7738
Supplier#000007746,Address 7746
Supplier#000007754,Address 7754
Supplier#000007803,Address 7803
Supplier#000007822,Address 7822
Supplier#000007855,Address 7855
Supplier#000007880,Address 7880
Supplier#000007922,Address 7922
Supplier#000007961,Address 7961
Supplier#000007973,Address 7973
Supplier#000007974,Address 7974
Supplier#000008007,Address 8007
Supplier#000008031,Address 8031
Supplier#000008063,Address 8063
Supplier#000008064,Address 8064
Supplier#000008071,Address 8071
Supplier#000008079,Address 8079
Supplier#000008104,Address 8104
Supplier#000008119,Address 8119
Supplier#000008155,Address 8155
