s_name,numwait
Supplier#000031317,13
Supplier#000051843,13
Supplier#000003582,12
Supplier#000008091,12
Supplier#000022573,12
Supplier#000027060,12
Supplier#000032748,12
Supplier#000046440,12
Supplier#000058840,12
Supplier#000063540,12
Supplier#000067296,12
Supplier#000079584,12
Supplier#000080461,12
Supplier#000001563,11
Supplier#000013219,11
Supplier#000016960,11
Supplier#000019198,11
Supplier#000020795,11
Supplier#000030033,11
Supplier#000040860,11
Supplier#000040923,11
Supplier#000041411,11
Supplier#000041425,11
Supplier#000052842,11
Supplier#000053001,11
Supplier#000065375,11
Supplier#000065475,11
Supplier#000066504,11
Supplier#000071914,11
Supplier#000072471,11
Supplier#000073685,11
Supplier#000077587,11
Supplier#000085951,11
Supplier#000089281,11
Supplier#000094379,11
Supplier#000099704,11
Supplier#000000694,10
Supplier#000002976,10
Supplier#000003488,10
Supplier#000005817,10
Supplier#000011375,10
Supplier#000013399,10
Supplier#000016267,10
Supplier#000019264,10
Supplier#000020685,10
Supplier#000021170,10
Supplier#000022643,10
Supplier#000025162,10
Supplier#000028211,10
Supplier#000032640,10
Supplier#000034059,10
Supplier#000035353,10
Supplier#000037912,10
Supplier#000039573,10
Supplier#000043990,10
Supplier#000043999,10
Supplier#000045269,10
Supplier#000045439,10
Supplier#000045677,10
Supplier#000047025,10
Supplier#000047335,10
Supplier#000048697,10
Supplier#000049510,10
Supplier#000050001,10
Supplier#000053177,10
Supplier#000054335,10
Supplier#000057565,10
Supplier#000058249,10
Supplier#000061437,10
Supplier#000067108,10
Supplier#000067384,10
Supplier#000069637,10
Supplier#000071837,10
Supplier#000074551,10
Supplier#000081052,10
Supplier#000082034,10
Supplier#000087174,10
Supplier#000087212,10
Supplier#000088102,10
Supplier#000088108,10
Supplier#000090875,10
Supplier#000094439,10
Supplier#000095810,10
Supplier#000096170,10
Supplier#000096990,10
Supplier#000098126,10
Supplier#000000138,9
Supplier#000002273,9
Supplier#000003016,9
Supplier#000004702,9
Supplier#000005750,9
Supplier#000006121,9
Supplier#000008122,9
Supplier#000009241,9
Supplier#000009510,9
Supplier#000010084,9
Supplier#000010615,9
Supplier#000012589,9
Supplier#000014029,9
Supplier#000014315,9
